name,num_locations,categories,raw_categories
100's seafood grill buffet,1,Buffet restaurant|Chinese restaurant|Crab house|Japanese restaurant|Japanese steakhouse|Mongolian barbecue restaurant|restaurant|Seafood restaurant|Steak house|Sushi restaurant,Buffet restaurant|Chinese restaurant|Crab house|Japanese restaurant|Japanese steakhouse|Mongolian barbecue restaurant|Restaurant|Seafood restaurant|Steak house|Sushi restaurant
101 Ale House,1,bar|restaurant,Bar|Restaurant
101 Bagels & subs,1,Bagel shop|coffee_shop,Bagel shop|Coffee shop
101 Cafe,1,Diner,Diner
101 Diner,1,American restaurant|Diner|restaurant,American restaurant|Diner|Restaurant
101 European,1,Audi dealer|Auto air conditioning service|auto_repair|BMW dealer|Brake shop|Car repair and maintenance|Mercedes-Benz dealer|Oil change service|Porsche dealer|Volkswagen dealer,Audi dealer|Auto air conditioning service|Auto repair shop|BMW dealer|Brake shop|Car repair and maintenance|Mercedes-Benz dealer|Oil change service|Porsche dealer|Volkswagen dealer
101 Marketplace,1,Consignment shop,Consignment shop
101 Mobility,1,Bathroom remodeler|Elevator service|Stair contractor,Bathroom remodeler|Elevator service|Stair contractor
101 Nail Lounge,1,beauty_salon|Waxing hair removal service,Nail salon|Waxing hair removal service
101 Piercing,1,Body piercing shop|Ear piercing service|Jewelry store,Body piercing shop|Ear piercing service|Jewelry store
101 Proof,1,bar,Bar
101 West Broadway,1,Corporate office,Corporate office
1010 Caffe,1,coffee_shop,Cafe
101domain,1,Corporate office,Corporate office
102 Hub,1,bar|coffee_shop|Deli|Fast food restaurant|Pub|restaurant|Sports bar,Bar|Coffee shop|Deli|Fast food restaurant|Pub|Restaurant|Sports bar
1031 Exchange Advantage ® - SellTaxFree.com™,1,Escrow service|Financial consultant|Legal services,Escrow service|Financial consultant|Legal services
1043 broadway ste 108 Chula Vista CA 91911,1,Shopping mall,Shopping mall
105-441 N Cedros Ave Parking,1,Parking lot,Parking lot
105.7 Max FM,1,Radio broadcaster,Radio broadcaster
10th Avenue Marine Terminal,1,Shipping service,Shipping service
10th Planet Oceanside Jiu Jitsu,1,Martial arts school,Martial arts school
10th Planet San Diego Jiu Jitsu,1,Jujitsu school|Martial arts school,Jujitsu school|Martial arts school
110 Plaza,1,Business center|Parking garage,Business center|Parking garage
1133 1st St Parking,1,Parking lot,Parking lot
115-193 Palomar Airport Rd Parking,1,Parking lot,Parking lot
117° West Spirits,1,Distillery,Distillery
11th Av & B St,1,Bus stop,Bus stop
12.22. Brazilian Jiu Jitsu,1,Gym,Gym
1220 Union St Parking,1,Parking garage|Parking lot,Parking garage|Parking lot
1231 Cave St Parking,1,Parking lot,Parking lot
125 NB Toll Booth,1,Toll booth,Toll booth
1283-1299 Parker Pl Parking,1,Parking lot,Parking lot
1292-1344 E Mission Bay Dr Parking,1,Parking lot,Parking lot
12th & Broadway Café,1,coffee_shop,Cafe
12th & Imperial,1,Light rail station,Light rail station
12th & Imperial Transit Center,1,Bus stop,Bus stop
13 Point Brewing Co.,1,Brewery,Brewery
138 comics and games,1,Comic book store,Comic book store
13th Street Market,1,Liquor store,Liquor store
1400 Quivira Rd Parking,1,Parking lot,Parking lot
1401-1599 Marine Way Parking,1,Parking lot,Parking lot
1406 Vacation Rd Parking,1,Parking lot,Parking lot
1424 Broadway Partners LLC,1,Mobile home park,Mobile home park
1441 Cesar E. Chavez Pkwy Parking,1,Parking lot,Parking lot
150 W Washington,1,Parking lot,Parking lot
1500 OCEAN Restaurant,1,American restaurant|bar|Californian restaurant|Fine dining restaurant|restaurant,American restaurant|Bar|Californian restaurant|Fine dining restaurant|Restaurant
160 Driving Academy,1,Education center|School,Education center|School
1600 Pacific Hwy Garage,1,Parking garage,Parking garage
16th Street Barber Shop,1,Barber shop,Barber shop
16th Street Barber Shop (Round 2),1,Barber shop,Barber shop
1730 3rd Ave Parking,1,Parking lot,Parking lot
1757 Highland Dr Parking,1,Parking lot,Parking lot
1779 Main St Parking,1,Parking lot,Parking lot
1798 Consultants,1,Consultant,Consultant
17th Street Lifeguard Tower,1,Beach,Beach
18/8 Fine Men's Salons - 4S San Diego,1,Barber shop|Hair removal service|beauty_salon,Barber shop|Hair removal service|Hair salon
1802 Jiu-Jitsu,1,Fitness center|Jujitsu school|Martial arts school|Self defense school,Fitness center|Jujitsu school|Martial arts school|Self defense school
1805 Gallery,1,Art gallery,Art gallery
1904-1906 Main St Parking,1,Parking lot,Parking lot
1904BLENDS,1,beauty_salon,Hair salon
1906 Lodge,1,Bed & breakfast|Hotel|Lodge,Bed & breakfast|Hotel|Lodge
1919,1,American restaurant|Sports bar,American restaurant|Sports bar
19Ten Oceanside,1,Sports bar,Sports bar
1HourWebsitePros.com,1,Establishment,Establishment
1Point21 Interactive,1,Marketing agency,Marketing agency
1st Arrow Systems,1,Recycling center,Recycling center
1st Avenue European,1,auto_repair,Auto repair shop
1st Choice Flooring,1,Flooring contractor,Flooring contractor
1st Choice Pest Management Inc,1,Pest control service,Pest control service
"1st Coast Cargo, Inc",1,Logistics service,Logistics service
1st Meridian Care Services,1,Aged care|Corporate office|Home health care service|Home help service agency|Nursing agency,Aged care|Corporate office|Home health care service|Home help service agency|Nursing agency
1st Street Bar,1,bar|Karaoke bar|Sports bar,Bar|Karaoke bar|Sports bar
1st and Ivy Market,1,ATM|Beer store|Deli|Liquor store|Market|Pizza Takeout|Pizza restaurant|Sandwich shop|Wine store,ATM|Beer store|Deli|Liquor store|Market|Pizza Takeout|Pizza restaurant|Sandwich shop|Wine store
1st stop car care,1,auto_repair,Auto repair shop
2 Blushing Blooms,1,Florist,Florist
2 Wheels Cycling Boutique,1,Bicycle Shop|Bicycle rental service|Bicycle repair shop,Bicycle Shop|Bicycle rental service|Bicycle repair shop
2000 Dreams Bridal,1,Bridal shop,Bridal shop
2000 Paces Photo Organizing,1,Photo agency|Photo restoration service|Professional organizer,Photo agency|Photo restoration service|Professional organizer
2020 Auto Detail,1,Car wash,Car wash
2051 Cucina Italiana,1,Italian restaurant,Italian restaurant
207 at Hard Rock Hotel San Diego,1,bar|Lounge,Bar|Lounge
20|Twenty,1,restaurant,Restaurant
21 Snowflake,1,Ice cream shop,Ice cream shop
2100 Carlsbad Blvd Parking,1,Parking lot,Parking lot
2101-2199 Oliver Ave Parking,1,Parking lot,Parking lot
2148 India St Parking,1,Parking garage|Parking lot,Parking garage|Parking lot
21°C Below Snowflake,1,restaurant,Restaurant
22 Area Branch Clinic,1,Medical Center,Medical Center
220 Marketing Group,1,Internet marketing service|Marketing consultant|Website designer,Internet marketing service|Marketing consultant|Website designer
225 Broadway,1,Corporate office,Corporate office
225 Broadway Garage,1,Parking lot,Parking lot
2345 Fenton Pkwy Parking,1,Parking lot,Parking lot
2380-2578 Truxtun Rd Parking,1,Parking lot,Parking lot
24 7 Gas and Food,1,Gas station,Gas station
24 7 Lockout Roadside Assistance,1,Towing service,Towing service
24 Hour Dog Daycare,1,Dog day care center|Kennel|Pet boarding service,Dog day care center|Kennel|Pet boarding service
24 Hour Fitness,29,Fitness center|Gym|Personal trainer|Physical fitness program|Yoga studio,Fitness center|Gym|Personal trainer|Physical fitness program|Yoga studio
24/7 Moving and Storage,1,Mover,Mover
247 Postal,1,Mailbox rental service|Package locker|Warehouse,Mailbox rental service|Package locker|Warehouse
24th Imperial Auto Repair,1,auto_repair,Auto repair shop
2550 Fifth Avenue,1,Consultant,Consultant
25th Street Family Medicine,1,Medical clinic,Medical clinic
25th/Commercial St Station,1,Light rail station,Light rail station
264 Fresco,1,Italian restaurant|Pizza restaurant|restaurant|Seafood restaurant,Italian restaurant|Pizza restaurant|Restaurant|Seafood restaurant
2655-3015 S Coast Highway 101 Parking,1,Parking lot,Parking lot
28th Street Playground,1,Playground,Playground
2929 Health Center Dr Parking,1,Parking lot,Parking lot
2Create Gallery,1,Art gallery,Art gallery
2Go Products,1,Cell phone store|Home goods store,Cell phone store|Home goods store
2Good2B Bakery,1,Bakery|Breakfast restaurant|Brunch restaurant|coffee_shop|Gluten-free restaurant|Health food restaurant|Organic restaurant|Vegan restaurant|Vegetarian restaurant,Bakery|Breakfast restaurant|Brunch restaurant|Coffee shop|Gluten-free restaurant|Health food restaurant|Organic restaurant|Vegan restaurant|Vegetarian restaurant
2M Autowerks,1,Auto body shop|auto_repair|Mechanic,Auto body shop|Auto repair shop|Mechanic
2Plank Vineyards,1,poi_attraction|Winery,Tourist attraction|Winery
2Point Digital Agency,1,Design agency|Internet marketing service|Marketing agency|Video production service|Website designer,Design agency|Internet marketing service|Marketing agency|Video production service|Website designer
2kids Brewing Company,1,Brewery,Brewery
2nd Av & Broadway,1,Bus stop,Bus stop
2nd Ave Lofts Downtown,1,Serviced apartment|Vacation home rental agency,Serviced apartment|Vacation home rental agency
2nd Street Printing,1,Print shop,Print shop
2nd star to the right - home,1,Stable,Stable
3 Amigos Recycling,1,Recycling center,Recycling center
3 Blind Mice Window Coverings,1,Awning supplier|Blinds shop|Curtain store|Curtain supplier and maker|Home automation company|Home improvement store|Interior construction contractor|Interior designer|Window tinting service|Window treatment store,Awning supplier|Blinds shop|Curtain store|Curtain supplier and maker|Home automation company|Home improvement store|Interior construction contractor|Interior designer|Window tinting service|Window treatment store
3 Daggers Tattoo and Body Piercing,1,Tattoo and piercing shop|Tattoo shop,Tattoo and piercing shop|Tattoo shop
3 Par At Four Points,1,Golf club|Golf course,Golf club|Golf course
3 Sisters Hacienda Elder Care,1,Assisted living facility|Retirement community|Retirement home|Senior citizen center,Assisted living facility|Retirement community|Retirement home|Senior citizen center
3 in 1 Design,1,Banner store|Custom t-shirt store|Embroidery service|Embroidery shop|Promotional products supplier|Screen printing shop|Sign shop|Vinyl sign shop,Banner store|Custom t-shirt store|Embroidery service|Embroidery shop|Promotional products supplier|Screen printing shop|Sign shop|Vinyl sign shop
3093 Ocean St Parking,1,Parking lot,Parking lot
30th Street Cottages,1,Apartment complex,Apartment complex
30th Street Garage,1,Event venue,Event venue
3111 Camino Del Rio N Parking,1,Parking lot,Parking lot
32 North Brewing Co.,1,Beer hall|Beer store|Brewery|Festival hall|Wedding venue,Beer hall|Beer store|Brewery|Festival hall|Wedding venue
3290 Mariners Way Parking,1,Parking lot,Parking lot
32nd/Commercial Station,1,Light rail station,Light rail station
333 Pacific,1,Lounge|Seafood restaurant|Steak house,Lounge|Seafood restaurant|Steak house
356 Korean BBQ & Bar,1,bar|Korean barbecue restaurant|restaurant,Bar|Korean barbecue restaurant|Restaurant
356 Sixth Ave Garage,1,Parking garage|Valet parking service,Parking garage|Valet parking service
360 Digital Imaging Solutions,1,Digital printer|Distribution service,Digital printer|Distribution service
360 Luxury Apartments,1,Apartment building|Apartment complex|Condominium complex|Townhouse complex,Apartment building|Apartment complex|Condominium complex|Townhouse complex
360 Motorcycle Adventures,1,Motorcycle rental agency|Tour agency|Tour operator,Motorcycle rental agency|Tour agency|Tour operator
3600 Sunset Dr Parking,1,Parking lot,Parking lot
365 Optimal Health And Fitness,1,Massage therapist|Nutritionist|Pain management physician|Personal trainer|Physical therapist|Physical therapy clinic,Massage therapist|Nutritionist|Pain management physician|Personal trainer|Physical therapist|Physical therapy clinic
369 Ramen. Poke .Chinese Cusine,1,restaurant,Restaurant
371 E Ave Coronado,1,Real estate agency,Real estate agency
3750 5th Avenue Parking,1,Parking lot,Parking lot
3895 Fairmount Ave Parking,1,Parking lot,Parking lot
3951-3999 Carlsbad Blvd Parking,1,Parking lot,Parking lot
3D High Definition Car Care,1,Car detailing service|Wax supplier,Car detailing service|Wax supplier
3D Systems San Diego,1,Research and product development,Research and product development
3Go sushi,1,Japanese restaurant|Sushi restaurant,Japanese restaurant|Sushi restaurant
3N1 Sports Bar & Grill,1,Bar & grill|Cigar shop|Lounge,Bar & grill|Cigar shop|Lounge
3RA Motorwerks,1,auto_repair,Auto repair shop
3RD Ave. Deli,1,Deli|Sandwich shop,Deli|Sandwich shop
"3SG Studio, LLC",1,Photography studio,Photography studio
3TEN Churro Bar,1,Dessert shop,Dessert shop
3in1 Bathroom & Kitchen Refinishing Company,1,Home goods store,Home goods store
3k Auto Inc,1,Used car dealer,Used car dealer
3rd & Ash,1,Parking garage|Parking lot,Parking garage|Parking lot
3rd Av & Main St,1,Bus stop,Bus stop
3rd Avenue Barber Shop,1,Barber shop,Barber shop
3rd Avenue Tattoo,1,Ear piercing service|Tattoo and piercing shop|Tattoo shop,Ear piercing service|Tattoo and piercing shop|Tattoo shop
3rd Day Escape,1,Amusement center|Escape room center,Amusement center|Escape room center
3rd MAW Band,1,Federal government office,Federal government office
4 Christ Mission,1,Religious organization,Religious organization
4 Feet & Feathers,1,Pet groomer|Pet store,Pet groomer|Pet store
4 Horsemen MC,1,Fraternal organization,Fraternal organization
4 Love and Hair - An Aveda Salon,1,beauty_salon,Hair salon
4 Wheel Parts - Off Road Truck & Jeep 4x4 Parts,2,Auto parts store|auto_repair|Tire shop|Truck accessories store|Truck repair shop|Wheel store,Auto parts store|Auto repair shop|Tire shop|Truck accessories store|Truck repair shop|Wheel store
40 30 Dental,1,Dental clinic|Dentist,Dental clinic|Dentist
400 West A Street,1,Parking lot,Parking lot
4015 Twiggs St Parking,1,Parking lot,Parking lot
4016 Garfield Vacation Rental,1,Holiday apartment|Short term apartment rental agency|Vacation home rental agency,Holiday apartment|Short term apartment rental agency|Vacation home rental agency
4033 Third Ave Parking,1,Parking lot,Parking lot
40N Pho and Grille,1,Vietnamese restaurant,Vietnamese restaurant
41 West Sales Studio,1,Corporate office,Corporate office
420 SMOKE SHOP,1,Tobacco shop,Tobacco shop
4250-4268 Bachman Pl Garage,1,Parking lot,Parking lot
4370 Sweetwater Rd Parking,1,Parking lot,Parking lot
43rd Wash & Wax,1,Car detailing service|Car wash,Car detailing service|Car wash
450-B Tower,1,Business center,Business center
454 Tattoo and Body Piercing,1,Body piercing shop|Tattoo shop,Body piercing shop|Tattoo shop
4949 Santa Monica Ave Parking,1,Parking lot,Parking lot
4Ever21 Beautique,1,Boutique,Boutique
4S Commons Town Center,1,Grocery store|restaurant|Shopping mall,Grocery store|Restaurant|Shopping mall
4S Eyecare & Optometry,1,Eye care center|Optometrist,Eye care center|Optometrist
4S Homestead Park,1,park,Park
4S Ranch Community Park,1,park|poi_attraction,Park|Tourist attraction
4S Ranch Heritage Park,1,park|poi_attraction,Park|Tourist attraction
4S Ranch Liberty County Park,1,park|poi_attraction,Park|Tourist attraction
4S Ranch Soccer,1,Association or organization,Association or organization
4S Ranch Sports Park,1,park|Playground|Recreation center|Sports complex|poi_attraction,Park|Playground|Recreation center|Sports complex|Tourist attraction
4S Ranch Village Center,1,Shopping mall,Shopping mall
4T Labels Inc,1,Commercial printer|Professional services,Commercial printer|Professional services
4th Ave Cleaners,1,Cleaners|Cleaning service|Clothing alteration service|Commercial cleaning service|Dry cleaner|Laundromat|Laundry service,Cleaners|Cleaning service|Clothing alteration service|Commercial cleaning service|Dry cleaner|Laundromat|Laundry service
4th of July Park,1,park|poi_attraction,Park|Tourist attraction
5 Diamond Mechanical,1,Air conditioning contractor|Air conditioning repair service|Furnace repair service|HVAC contractor|Heating contractor,Air conditioning contractor|Air conditioning repair service|Furnace repair service|HVAC contractor|Heating contractor
5 Element Fitness,1,Personal trainer,Personal trainer
5 Grand Autoland,1,Car dealer|Used car dealer,Car dealer|Used car dealer
5 Min. Express Wash,1,Car wash,Car wash
5 Point Auto Spa,1,Car detailing service|Window tinting service,Car detailing service|Window tinting service
5 Point Auto Spa Carlsbad,1,Car detailing service|Car wash|Window tinting service,Car detailing service|Car wash|Window tinting service
5 Star Car Title Loans,1,Loan agency|Registration office,Loan agency|Registration office
5 Star Market & Liquor & Kegs,1,Liquor store,Liquor store
5 Star Preowned of California,1,Auto market|Car dealer|Car finance and loan company|Motor vehicle dealer|Truck dealer|Used car dealer|Used truck dealer,Auto market|Car dealer|Car finance and loan company|Motor vehicle dealer|Truck dealer|Used car dealer|Used truck dealer
5 Tool Hitting Center,1,Batting cage center|Coaching center,Batting cage center|Coaching center
5$ Pizza!,1,Fast food restaurant,Fast food restaurant
5&A DIME,1,Boutique|Clothing store|Men's clothing store,Boutique|Clothing store|Men's clothing store
5.11 Tactical,2,Bag shop|Boot store|Outdoor clothing and equipment shop|Work clothes store,Bag shop|Boot store|Outdoor clothing and equipment shop|Work clothes store
"50 North Yachts - World Cat Boats, Monte Carlo Yachts & Sealine Power Boat Dealer",1,Boat accessories supplier|Boat dealer|Boat repair shop|Boat trailer dealer|Yacht broker,Boat accessories supplier|Boat dealer|Boat repair shop|Boat trailer dealer|Yacht broker
501 West Broadway,2,Corporate office,Corporate office
5025,1,College,College
5150 eLiquid,1,Vaporizer store,Vaporizer store
525 B St Parking Garage - ParkChirp,1,Parking garage|Parking lot|Public parking space,Parking garage|Parking lot|Public parking space
525 B Street,1,Shopping mall,Shopping mall
55 Thai Kitchen,1,Thai restaurant,Thai restaurant
55 Thai Kitchen Golden Hill,1,Thai restaurant,Thai restaurant
55 Thai Kitchen PB,1,restaurant|Thai restaurant,Restaurant|Thai restaurant
55 Thai Kitchen SDSU,1,Thai restaurant,Thai restaurant
5703-6395 Carlsbad Blvd Parking,1,Parking lot,Parking lot
59th & Lex - Closed,1,restaurant,Restaurant
5Grand Autoland,1,Used car dealer,Used car dealer
5th & Broadway Parking,1,Parking garage,Parking garage
5th & Laurel,1,Corporate office,Corporate office
5th Av & B St,1,Bus stop,Bus stop
5th Av & C St,1,Bus stop,Bus stop
5th Ave Auto Service,1,Auto electrical service|auto_repair|Car inspection station|Car repair and maintenance|Chauffeur service|Engine rebuilding service|Oil change service|Smog inspection station|Tire shop|Transmission shop,Auto electrical service|Auto repair shop|Car inspection station|Car repair and maintenance|Chauffeur service|Engine rebuilding service|Oil change service|Smog inspection station|Tire shop|Transmission shop
5th Ave Kitchen & Tap,1,Bar & grill|Brunch restaurant|Sports bar,Bar & grill|Brunch restaurant|Sports bar
5th Ave New York Pizza,1,Pizza restaurant,Pizza restaurant
5th Avenue Books,1,Used book store,Used book store
5th Avenue Cleaners,1,Clothing alteration service|Dry cleaner,Clothing alteration service|Dry cleaner
5th Avenue Station,1,Light rail station,Light rail station
5th Axis Inc.,1,Auto machine shop|Machine shop,Auto machine shop|Machine shop
5th Regiment Memorial Crosses,1,Museum,Museum
5th and Sky Roof Top Lounge,1,Food and drink|Lounge,Food and drink|Lounge
600 B Street,1,,
600 Front Apartments,2,Apartment building|Real estate agency,Apartment building|Real estate agency
601-651 Tourmaline St Parking,1,Parking lot,Parking lot
608,1,New American restaurant,New American restaurant
619 Barber Shop,1,Barber shop,Barber shop
619 Contractors Diego,1,Electrician,Electrician
619 Kitchen Rental,1,commissary|shared kitchen,commissary|shared kitchen
619 Lowrider Bikes and Parts,1,Bicycle Shop,Bicycle Shop
619 Motor Sports,1,Auto body shop|Auto parts store|auto_repair|Car alarm supplier|Car stereo store|Window tinting service,Auto body shop|Auto parts store|Auto repair shop|Car alarm supplier|Car stereo store|Window tinting service
619 Underground Clothing,2,Clothing store|Men's clothing store,Clothing store|Men's clothing store
619 | San Diego Personal Training,1,Personal trainer,Personal trainer
619Signs.com,1,Banner store,Banner store
625 Broadway,1,Parking garage,Parking garage
626 Rentals,1,Construction equipment supplier|Equipment rental agency|Propane supplier,Construction equipment supplier|Equipment rental agency|Propane supplier
664 TJ BIRRIERIA,1,restaurant_mexican,Mexican restaurant
664 TJ Birrieria,2,restaurant_mexican|restaurant,Mexican restaurant|Restaurant
664 Tj Birrieria,1,restaurant_mexican,Mexican restaurant
6th Avenue Periodontics & Implant Dentistry,2,Dental implants periodontist|Dentist|Endodontist|Orthodontist,Dental implants periodontist|Dentist|Endodontist|Orthodontist
6th and A Parking Garage,1,Business center|Parking garage,Business center|Parking garage
7 Café,1,Breakfast restaurant|Cake shop|coffee_shop|Dessert shop|Pancake restaurant,Breakfast restaurant|Cake shop|Coffee shop|Dessert shop|Pancake restaurant
7 Day Auto Body,1,Auto body shop,Auto body shop
7 Day Tire Brake & Mechanic,1,auto_repair|Tire shop|Used tire shop,Auto repair shop|Tire shop|Used tire shop
7 Days Tire Shop,1,Tire shop,Tire shop
7 Eleven Car Wash,1,Car wash|Convenience store,Car wash|Convenience store
7 For All Mankind,1,Children's clothing store|Clothing store|Men's clothing store|Women's clothing store,Children's clothing store|Clothing store|Men's clothing store|Women's clothing store
7 Mile Kitchen,1,restaurant,Restaurant
7 Star Auto Glass,1,Auto dent removal service|Auto glass shop|Window tinting service,Auto dent removal service|Auto glass shop|Window tinting service
7 Stitches Jewelry,1,Jewelry designer,Jewelry designer
7 Up RC Bottling Co,1,Distribution service,Distribution service
7 to 7 Auto Repair,1,auto_repair|Brake shop|Diagnostic center|Engine rebuilding service|Smog inspection station,Auto repair shop|Brake shop|Diagnostic center|Engine rebuilding service|Smog inspection station
7-11,1,Grocery store,Grocery store
7-Eleven,136,ATM|Bakery|Beer store|Candy store|coffee_shop|Convenience store|Food products supplier|Gas station|Snack bar|Tobacco shop|Wine store,ATM|Bakery|Beer store|Candy store|Coffee shop|Convenience store|Food products supplier|Gas station|Snack bar|Tobacco shop|Wine store
7-Eleven - Closed,5,Bakery|Beer store|Candy store|coffee_shop|Convenience store|Food products supplier|Gas station|Snack bar|Tobacco shop|Wine store,Bakery|Beer store|Candy store|Coffee shop|Convenience store|Food products supplier|Gas station|Snack bar|Tobacco shop|Wine store
7-Eleven Gas Station,1,Gas station,Gas station
7-Eleven Gas Station and Propane tank refill,1,Convenience store|Gas station|Propane supplier,Convenience store|Gas station|Propane supplier
7-Q Liquor,1,Liquor store,Liquor store
701B,1,Corporate office,Corporate office
707 Broadway,2,Commercial real estate agency|Parking garage|Parking lot,Commercial real estate agency|Parking garage|Parking lot
710 Beach Club,1,Bar & grill|Karaoke|Live music venue|restaurant,Bar & grill|Karaoke|Live music venue|Restaurant
710 Beach Rentals,1,Condominium rental agency|Holiday accommodation service|Property management company|Real estate agency|Vacation home rental agency,Condominium rental agency|Holiday accommodation service|Property management company|Real estate agency|Vacation home rental agency
710 rentals,1,Homestay,Homestay
76,42,Car wash|Gas station,Car wash|Gas station
76 Smog Test Only Station,1,Smog inspection station,Smog inspection station
760 Burgers,1,Hamburger restaurant,Hamburger restaurant
760 Kustoms,1,Auto spring shop,Auto spring shop
777 Noodle House,1,Cambodian restaurant|Chinese restaurant|Fusion restaurant,Cambodian restaurant|Chinese restaurant|Fusion restaurant
780 Bay,1,Transit station,Transit station
7850 Vista Hill Ave Parking,1,Parking lot,Parking lot
7901-7999 Frost St Garage,1,Parking lot,Parking lot
7CTOs,1,Business development service,Business development service
7SEVENXVII Clothing Store,1,Boutique,Boutique
7Stars Smog Test Only,1,Smog inspection station,Smog inspection station
7th & Market,1,Parking lot,Parking lot
7th & Market South,1,Parking lot,Parking lot
7th Avenue Cleaners,1,Dry cleaner|Laundry service,Dry cleaner|Laundry service
8 Ball Motorcycle Tires of Escondido,1,Motorcycle shop,Motorcycle shop
8 Ball Motorcycle Tires of San Diego,1,BMW motorcycle dealer|Harley-Davidson dealer|Motor scooter dealer|Motorcycle dealer|Motorcycle parts store|Motorcycle repair shop|Motorcycle shop|Motorsports store|Tire shop|Yamaha motorcycle dealer,BMW motorcycle dealer|Harley-Davidson dealer|Motor scooter dealer|Motorcycle dealer|Motorcycle parts store|Motorcycle repair shop|Motorcycle shop|Motorsports store|Tire shop|Yamaha motorcycle dealer
8-2-8 Urgent Care,1,Emergency care service|Medical clinic|Pediatrician|STD testing service|Urgent care center|Walk-in clinic,Emergency care service|Medical clinic|Pediatrician|STD testing service|Urgent care center|Walk-in clinic
8125 Fletcher Pkwy Parking,1,Parking lot,Parking lot
829 Auto,1,Auto parts store|auto_repair|Auto tune up service|Car repair and maintenance|Mechanic|Muffler shop|Tune up supplier|Tuning automobile,Auto parts store|Auto repair shop|Auto tune up service|Car repair and maintenance|Mechanic|Muffler shop|Tune up supplier|Tuning automobile
83 Degrees Bar & Kitchen,1,bar,Bar
858 Appliance Repair,1,Appliance repair service,Appliance repair service
858 Graphics,1,Banner store|Commercial printer|Custom label printer|Decal supplier|Display stand manufacturer|Graphic designer|Poster store|Print shop|Sign shop|Sticker manufacturer,Banner store|Commercial printer|Custom label printer|Decal supplier|Display stand manufacturer|Graphic designer|Poster store|Print shop|Sign shop|Sticker manufacturer
85C Bakery Cafe - Balboa Mesa,1,Bakery|coffee_shop|Dessert shop|restaurant,Bakery|Cafe|Coffee shop|Dessert shop|Restaurant
85C Bakery Cafe - Loma Square,1,Bakery|coffee_shop|Dessert shop|restaurant,Bakery|Cafe|Coffee shop|Dessert shop|Restaurant
85C Bakery Cafe - National City,1,Bakery|coffee_shop|Dessert shop|restaurant,Bakery|Cafe|Coffee shop|Dessert shop|Restaurant
85C Bakery Cafe - San Diego (University Town Center),1,Bakery|coffee_shop|Dessert shop,Bakery|Cafe|Dessert shop
